5:23pm,1 Buffalo stationary,"S1, 2km E of the Mashukele River Bridge Near Phabeni",5/5,Nachi,"Nov 28, 2023 · 3:35 PM UTC"
3:33pm,2 Lion crossed road,"""Males, on the northern side of the road."" S48, 40m from H1-6, S entrance Near Letaba",5/5,Klaas,"Nov 28, 2023 · 3:07 PM UTC"
5:00pm,1 Leopard stationary,"H1-2, at the Mutlumuvi river bridge Near Skukuza",5/5,James,"Nov 28, 2023 · 3:05 PM UTC"
10:45am,2 Lion stationary,"""Males."" S147, 500m from H1-4 Near Olifants",5/5,Dolph sk,"Nov 28, 2023 · 2:39 PM UTC"
4:03pm,2 Cheetah stationary,"""40m to the south of the road, under a tree."" S1, 4.9km W of S4 Near Phabeni",1/5,Jezbods,"Nov 28, 2023 · 2:35 PM UTC"
3:40pm,2 Cheetah stationary,"S1, 4.9km W of S4 Near Phabeni",4/5,Ossendryver_Family,"Nov 28, 2023 · 2:04 PM UTC"
3:15pm,Herd of Buffalo stationary,"H4-1, 5.2km from H1-2 Near Skukuza",5/5,Nachi,"Nov 28, 2023 · 1:56 PM UTC"
3:00pm,3 Wild Dog on the move,"""They were stationary and then they got up and ran to the river. Lost Visual."" S76, 450m from H4-1, E entrance Near Skukuza",0/5,Nachi,"Nov 28, 2023 · 1:56 PM UTC"
3:28pm,3 Lion crossed road,"""They are now lying in the riverbed. Only one is visible, 20m in."" H4-1, 3.4km from H1-2 Near Skukuza",5/5,Nachi,"Nov 28, 2023 · 1:56 PM UTC"
1:35pm,1 Cheetah stationary,"""The cheetah was on a kill. Vultures came and chased it away. It moved from the East to the West side of the road. Now it is stationary under the shade."" H1-3, 500m N of Tshokwane",5/5,Abdullah Cajee - Bajee Squad/DLS Safaris,"Nov 28, 2023 · 1:20 PM UTC"
2:16pm,1 plus Lion stationary,"""They were in the bush. Hiding in the shadows"" H4-1, 3.2km E of H1-2 Near Skukuza",1/5,Mednor,"Nov 28, 2023 · 12:51 PM UTC"
1:33pm,10 Zebra feeding,"S1, 650m W of S65 Near Skukuza",5/5,Mednor,"Nov 28, 2023 · 11:55 AM UTC"
1:25pm,8 Kudu on the move,"""They crossed the road."" S1, 1.9km W of S65 Near Skukuza",5/5,Mednor,"Nov 28, 2023 · 11:55 AM UTC"
12:47pm,4 Hippopotamus stationary,"""In the water. Hard to see how many they were."" At the Nyamundwa Dam, off S1 Near Phabeni",4/5,Mednor,"Nov 28, 2023 · 11:10 AM UTC"
10:10am,50 plus Elephant feeding,"""They were also playing in the water."" H1-3, 700m S of S125 Near Satara",5/5,WildlifeM,"Nov 28, 2023 · 11:03 AM UTC"
9:21am,1 Leopard in a tree,"""He was just chilling."" H1-3, 4.6km S of the Mazithi Dam Near Tshokwane",3/5,WildlifeM,"Nov 28, 2023 · 10:58 AM UTC"
9:16am,1 Lion sleeping,"""Underneath a tree next to the road."" H1-3, 1.4km N of S35 Near Tshokwane",5/5,WildlifeM,"Nov 28, 2023 · 10:58 AM UTC"
9:49am,4 Lion crossed road,"""So lucky. Arrived as they all were in the road. They crossed to the west and disappeared"" S114, 850m N of S112 Near Skukuza",5/5,Ossendryver_Family,"Nov 28, 2023 · 10:24 AM UTC"
10:00am,3 Cheetah sleeping,"""Males. We stayed with them for half an hour."" S28, 3.3km S of S137 Near Crocodile Bridge",5/5,G and T,"Nov 28, 2023 · 9:57 AM UTC"
10:48am,13 Lion stationary,"""A pile of lions all sleeping under a little bush. Difficult to get an accurate count."" S28, 3km N of S137 Near Lower Sabie",5/5,G and T,"Nov 28, 2023 · 9:57 AM UTC"
10:30am,12 Lion stationary,"""Next to the road."" S28, 2.5km from H4-2, N entrance Near Lower Sabie",5/5,Rudi,"Nov 28, 2023 · 9:57 AM UTC"
10:50am,4 Blue Wildebeest feeding,"H4-2, 900m S of H5 Near Crocodile Bridge",5/5,stefdeyou,"Nov 28, 2023 · 9:17 AM UTC"
8:32am,2 Elephant feeding,"""Chilling in the shade while feeding on leaves."" H1-2, 150m S of Leeupan Near Skukuza",5/5,WildlifeM,"Nov 28, 2023 · 9:17 AM UTC"
10:15am,Herd of Buffalo on the move,"""Moving towards the river."" H4-1, 11.4km from the H12 bridge  towards Skukuza",5/5,Izelle,"Nov 28, 2023 · 9:08 AM UTC"
9:25am,3 Wild Dog sleeping,"S76, 700m from H4-1, W entrance Near Skukuza",5/5,Izelle,"Nov 28, 2023 · 9:08 AM UTC"
10:15am,3 Lion stationary,"""Males."" H4-1, 3.2km from H1-2 Near Skukuza",5/5,Izelle,"Nov 28, 2023 · 9:08 AM UTC"
7:03am,3 Lion sleeping,"""There is 1 big male and 2 females lying under a tree."" H4-1, 3.4km E of H1-2 Near Skukuza",5/5,WildlifeM,"Nov 28, 2023 · 8:59 AM UTC"
10:44am,5 Spotted Hyena stationary,"S25, just E of S26 Near Crocodile Bridge",5/5,Marie and Hendrik,"Nov 28, 2023 · 8:54 AM UTC"
7:40am,3 Wild Dog stationary,"""All three are calling for other wild dogs. They seem lost."" S76, 450m from H4-1, E entrance Near Skukuza",5/5,Ossendryver_Family,"Nov 28, 2023 · 8:47 AM UTC"
8:37am,1 Lion stationary,"H4-1, 7.8km W of H12 Near Skukuza",1/5,Ossendryver_Family,"Nov 28, 2023 · 8:46 AM UTC"
8:42am,3 Lion stationary,"H4-1, 3.4km from H1-2 Near Skukuza",4/5,Ossendryver_Family,"Nov 28, 2023 · 8:46 AM UTC"
10:25am,5 Spotted Hyena playing,"""They are also drinking water."" S25, just E of S26 Near Crocodile Bridge",5/5,Marie and Hendrik,"Nov 28, 2023 · 8:34 AM UTC"
10:08am,Herd of Buffalo stationary,"S26, 800m NW of S108 Near Crocodile Bridge",5/5,Marie and Hendrik,"Nov 28, 2023 · 8:18 AM UTC"
8:10am,1 Lion stationary,"""On the corner of the lookout loop onto the riverbed."" S118, 5km from H3 Near Malelane",4/5,Jesswoollam,"Nov 28, 2023 · 8:04 AM UTC"
9:15am,Herd of Elephant sleeping,"""Having a mid-morning nap."" S83, 3km from H1-2, S entrance Near Skukuza",5/5,Frannie - Thula Seats Transfers and Tours,"Nov 28, 2023 · 7:55 AM UTC"
8:31am,7 Warthog stationary,"""Lots of babies."" S25, 4.5km E of S119 Near Malelane",4/5,stefdeyou,"Nov 28, 2023 · 6:39 AM UTC"
8:17am,20 plus Elephant on the move,"S113, just near S23 Near Skukuza",5/5,Evv,"Nov 28, 2023 · 6:39 AM UTC"
7:00am,1 Leopard on the move,"""Update: It went into the bush. No visual."" S114, at the S119 junction Near Malelane",0/5,Sune’,"Nov 28, 2023 · 6:25 AM UTC"
5:25am,2 Cheetah on the move,"""Brothers."" S1, at the Mashukele River Near Phabeni",5/5,Christopher Tosi -#86Daysinkruger,"Nov 28, 2023 · 6:21 AM UTC"
7:15am,1 Leopard on the move,"""A male, went underneath the bridge."" H11, at the Nwaswitshaka River Bridge Near Skukuza",5/5,Christopher Tosi -#86Daysinkruger,"Nov 28, 2023 · 6:21 AM UTC"
7:43am,1 Lion sleeping,"""In the riverbed."" H4-1, 13km from Skukuza",3/5,Birgit,"Nov 28, 2023 · 5:55 AM UTC"
7:11am,1 Hippopotamus stationary,"At the Nyamundwa Dam, off S1 Near Phabeni",4/5,Rossi_ZA,"Nov 28, 2023 · 5:43 AM UTC"
6:00am,4 Lion stationary,"H3, at the Matjulu River Bridge Near Malelane",2/5,stefdeyou,"Nov 28, 2023 · 4:49 AM UTC"
5:55am,1 Leopard sleeping,"""On top of a rock."" S114, at the S119 junction Near Malelane",5/5,TWF,"Nov 28, 2023 · 4:49 AM UTC"
5:30am,5 Lion on the move,"""Walking west along the road. One is limping."" S110 gravel, close to H3 Near Berg en Dal",5/5,Erland,"Nov 28, 2023 · 4:34 AM UTC"
3:33pm,1 Spotted hyena stationary,"H3, at the Matjulu River Bridge Near Malelane",5/5,WildlifeM,"Nov 27, 2023 · 1:39 PM UTC"
7:12am,1 Cheetah stationary,"""Next to the road. Has been here for 10 minutes. The third cheetah has lost touch with the other two."" H4-5, 200m N of the S28, S entrance Near Crocodile Bridge",5/5,Barry,"Nov 27, 2023 · 11:37 AM UTC"
7:00am,2 Cheetahs stationary,"""Quite a distant visual, 2/5 without binos and 5/5 with binos."" H4-2, 500m S of S25 Near Crocodile Bridge",5/5,Barry,"Nov 27, 2023 · 11:37 AM UTC"
12:27pm,1 Leopard on the move,"""It was close, then went stationary far in."" S114, 2.3km from H3 Near Malelane",5/5,Ossendryver_Family,"Nov 27, 2023 · 11:12 AM UTC"
12:55pm,2 Leopards stationary,"S114, 2.3km from H3 Near Malelane",1/5,Ossendryver_Family,"Nov 27, 2023 · 11:11 AM UTC"
12:35pm,50 plus Buffalo stationary,"S28, 3.8km N of S137 Near Lower Sabie",5/5,Colleencoetzer,"Nov 27, 2023 · 11:10 AM UTC"
12:27pm,1 Leopard on the move,"""It was close, then went stationary far in."" S114, 2.3km from H3 Near Malelane",1/5,Ossendryver_Family,"Nov 27, 2023 · 11:10 AM UTC"
12:55pm,2 Leopard stationary,"S114, 2.3km from H3 Near Malelane",1/5,Ossendryver_Family,"Nov 27, 2023 · 11:10 AM UTC"
12:26pm,2 Leopard stationary,"S114, 2.3km from H3 Near Malelane",3/5,Ebrahim,"Nov 27, 2023 · 11:01 AM UTC"
9:53am,1 Spotted Hyena on the move,"""On the road, in the 2nd detour from Lower Sabie side."" H4-1, 5.3km N of the Lubyelubye River Bridge",5/5,Barry,"Nov 27, 2023 · 10:38 AM UTC"
10:06am,6 Lions stationary,"""In the riverbed, 300m from the bridge. Visibility is 1/5 without binoculars. Clear visual but very distant."" H4-1, 200m N of S21 Near Lower Sabie",1/5,Barry,"Nov 27, 2023 · 10:35 AM UTC"
10:51am,4 Lion hunting,"""In the ravine, in the shade on the east side."" H4-1, 4.2km N of Nkuhku Picnic Spot Near Skukuza",5/5,Barry,"Nov 27, 2023 · 10:30 AM UTC"
10:06am,6 Lion stationary,"""In the riverbed, 300m from the bridge. Visibility is 1/5 without binoculars. Clear visual but very distant."" H4-1, 200m N of S21 Near Lower Sabie",1/5,Barry,"Nov 27, 2023 · 10:30 AM UTC"
11:07am,4 Lion stationary,"S25, 5.4km E of S26 Near Crocodile Bridge",4/5,Sliprat,"Nov 27, 2023 · 9:58 AM UTC"
9:51am,20 plus Buffalo stationary,"""Standing in the way."" H4-1, 4.1km E of H1-2 Near Skukuza",5/5,Mednor,"Nov 27, 2023 · 9:58 AM UTC"
6:14am,1 Leopard on the move,"""Crossing the road and wandering around."" H4-1, 3.8km S of Nkuhlu Picnic spot Near Lower Sabie",5/5,SebastianLare4802,"Nov 27, 2023 · 9:58 AM UTC"
8:43am,10 Buffalo on the move,"""Going to Sabie River to drink."" H11, at the paul Kruger Gate Near Paul Kruger Gate",2/5,Mednor,"Nov 27, 2023 · 9:43 AM UTC"
8:07am,2 Buffalo crossed road,"S25, just before S26 junction Near Crocodile Bridge",5/5,Sarahxman,"Nov 27, 2023 · 9:43 AM UTC"
7:12am,3 Lion stationary,"""In a small riverbed. They are lying down, but very alert with heads raised all the time. Reacting to sounds and movements."" H4-1, 3.5km E of H12 Near Skukuza",4/5,Tienbierpanter,"Nov 27, 2023 · 9:42 AM UTC"
7:06am,4 Wild Dog stationary,"H1-1, 1.1km W of S66 Near Skukuza",2/5,Ernst_Safari,"Nov 27, 2023 · 9:42 AM UTC"
10:41am,1 Giraffe stationary,"S1, 1.9km W of S65 Near Skukuza",3/5,WildlifeM,"Nov 27, 2023 · 9:24 AM UTC"
9:53am,1 Spotted Hyena crossed road,"S114, 2.3km from H3 Near Malelane",5/5,Ossendryver_Family,"Nov 27, 2023 · 9:24 AM UTC"
9:01am,1 Leopard tortoise drinking,"S110 tar, 1.4km from H3 Near Malelane",5/5,Ossendryver_Family,"Nov 27, 2023 · 9:24 AM UTC"
10:45am,Pack of Wild Dog stationary,"""On both sides of the road."" S25, 1km W of S26 Near Crocodile Bridge",5/5,Ebrahim,"Nov 27, 2023 · 9:10 AM UTC"
9:22am,Herd of Elephant stationary,"""Next to the road with a tiny baby."" H4-2, 2km from Lower Sabie",5/5,Marie and Hendrik,"Nov 27, 2023 · 9:10 AM UTC"
10:15am,2 Roan Antelope on the move,"H1-6, 1km S of S48 N entrance Near Mopani",5/5,Alberto - Matimba Lodge,"Nov 27, 2023 · 9:01 AM UTC"
8:05am,1 Spotted hyena stationary,"""Lying in the open on the eastern side about 200m from the bridge."" H12, at the Sabie river Bridge Near Skukuza",2/5,SusiedB,"Nov 27, 2023 · 9:00 AM UTC"
9:50am,4 Wild Dog hunting,"""There could be more, we didn't hang around."" S110 tar, 1.5km fro Berg en Dal",5/5,G and T,"Nov 27, 2023 · 8:50 AM UTC"
10:04am,Herd of Buffalo stationary,"H4-1, 4.5km E of H1-2 Near Skukuza",5/5,Chrisma,"Nov 27, 2023 · 8:50 AM UTC"
9:58am,4 Lion stationary,"""They then got up walked down the road, and returned to the road. One of the youngsters is eating a small tortoise."" H4-1, 3km W of H12 Near Skukuza",5/5,Chrisma,"Nov 27, 2023 · 8:49 AM UTC"
7:50am,2 Lion stationary,"""Lionesses resting. They occasionally walk and rest. When we left they were resting."" H4-1, 4km E of H12 Near Skukuza",3/5,SusiedB,"Nov 27, 2023 · 8:49 AM UTC"
7:38am,5 Spotted Hyena stationary,"""At the den."" H1-1, 750m N of S114 Near Skukuza",4/5,Ernst_Safari,"Nov 27, 2023 · 8:12 AM UTC"
7:14am,4 Spotted Hyena stationary,"""There are 2 cubs."" S1, 1.4km E of S4 Near Skukuza",5/5,LoveWildAnimals,"Nov 27, 2023 · 8:12 AM UTC"
6:28am,1 Side striped Jackal on the move,"H1-1, 2.7km E of S11, W entrance Near Pretoriuskop",3/5,Ernst_Safari,"Nov 27, 2023 · 8:11 AM UTC"
7:30am,2 Spotted Hyena stationary,"""Lying in the water. The young one is very vocal."" S25, at the Bume low-level Water Bridge. Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Nov 27, 2023 · 7:40 AM UTC"
7:45am,Pack of Wild Dog stationary,"S25, 2.6km W of S26 Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Nov 27, 2023 · 7:40 AM UTC"
7:02am,1 Leopard on the move,"""Moved into the bush."" S25, 10.3km W of S27 Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Nov 27, 2023 · 7:32 AM UTC"
6:00am,2 Cheetah on the move,"""They are contact calling. Visibility varies as they move around."" Gasanftombi access road, off H4-2 Near Crocodile Bridge",4/5,Kerry - Kruger Pride Safaris,"Nov 27, 2023 · 7:32 AM UTC"
5:50am,1 Crocodile hunting,"""Update: The battle is still happening."" at the Crocodile Bridge, before reception",5/5,Kerry - Kruger Pride Safaris,"Nov 27, 2023 · 7:27 AM UTC"
5:15am,1 Crocodile hunting,"""Trying to take down a Wildebeest."" at the Crocodile Bridge, before reception",5/5,Kerry - Kruger Pride Safaris,"Nov 27, 2023 · 7:27 AM UTC"
7:37am,1 Spotted Hyena stationary,"""Lying down."" S130, at the S137 junction Near Lower Sabie",4/5,Marie and Hendrik,"Nov 27, 2023 · 7:16 AM UTC"
7:11am,1 Steenbok stationary,"at the Duke waterhole, off S137 Near Lower Sabie",3/5,Marie and Hendrik,"Nov 27, 2023 · 7:16 AM UTC"
8:39am,Herd of Buffalo stationary,"""In the riverbed."" H4-1, 2km W of Lower Sabie towards LubyeLubye River Bridge",3/5,Marie and Hendrik,"Nov 27, 2023 · 7:08 AM UTC"
8:23am,1 Buffalo stationary,"""In the water."" H10, at the Sabie River Bridge Near Lower Sabie",5/5,Marie and Hendrik,"Nov 27, 2023 · 7:08 AM UTC"
8:00am,2 Cheetah on the move,"""On the right hand side."" H4-2, just before the Vurhami Bridge from Crocodile Bridge",5/5,Rudi,"Nov 27, 2023 · 7:08 AM UTC"
6:20am,1 Bateleur stationary,"""On the ground. Later flew into the tree top."" S108, 100m W of H5 Near Crocodile Bridge",3/5,Barry,"Nov 27, 2023 · 6:57 AM UTC"
6:00am,1 Black chested Snake Eagle in a tree,"H4-2, 7.1km S of S130, N entrance Near Crocodile Bridge",3/5,Barry,"Nov 27, 2023 · 6:57 AM UTC"
10:20am,1 Leopard in a tree,"""was full visible but then moved a bit and is no longer completely visible"" H3, 3km N of Malelane gate",1/5,Moshe sos,"Dec 15, 2023 · 8:29 AM UTC"
10:16am,2 Elephants eating,"""Amazing sighting"" S7, 500m N of S10 N junction, 10m from road Near Pretoriuskop",5/5,LvVuuren,"Dec 15, 2023 · 8:29 AM UTC"
10:00am,Pride of Lion on the move,"H3, 1.5km S of the S110 sand road Near Malelane",4/5,Sunflower,"Dec 15, 2023 · 8:28 AM UTC"
9:57am,4 Elephant drinking and Hippopotamus,"S3, road at Mestel dam Near Numbi",5/5,LvVuuren,"Dec 15, 2023 · 8:18 AM UTC"
9:46am,4 Elephant drinking,"""Calves play fighting and mother swimming"" S3, at Mestel dam Near Numbi",3/5,Koinian,"Dec 15, 2023 · 8:18 AM UTC"
9:32am,4 Elephant drinking,"S3, at Mestel dam Near Numbi",3/5,Koinian,"Dec 15, 2023 · 8:18 AM UTC"
9:29am,Dazzle of Burchell's Zebra ,"H3, 2.2km N of Renosterpan Near Malelane",5/5,Die Agies,"Dec 15, 2023 · 8:12 AM UTC"
8:50am,Vurhani pride of Lion on the move,"H4-2, 400m N of S25 on W side Near Crocodile Bridge",3/5,Christelle - Capture Nature Kruger Safaris,"Dec 15, 2023 · 8:12 AM UTC"
8:50am,Vurhani pride of Lion stationary,"S25, 100m from H4-2 S side Near Crocodile Bridge",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 15, 2023 · 7:15 AM UTC"
8:50am,Vurhani pride of Lion stationary,"S25, 100m from H4-2 S side Near Crocodile Bridge",5/5,Jean - Discover Kruger Safaris,"Dec 15, 2023 · 7:15 AM UTC"
8:52am,Herd of Elephant eating,"H3, 100m south of Mlambane river on both sides Near Malelane",5/5,Die Agies,"Dec 15, 2023 · 7:15 AM UTC"
8:57am,Herd of Buffalo stationary,"""Small herd of Dagha Boys"" H3, 700m N of Mlambane river. Near Malelane",5/5,Die Agies,"Dec 15, 2023 · 7:15 AM UTC"
8:36am,5 Lion sleeping,"S22, 900m W of S114 Near Skukuza",2/5,MorneSoekoe,"Dec 15, 2023 · 7:03 AM UTC"
8:49am,3 Spotted Hyena stationary,"H1-1, 800m N of S114 Near Skukuza",5/5,albert vds,"Dec 15, 2023 · 7:03 AM UTC"
8:00am,1 Leopard hunting,"H3, near Kwaggaspan on H3. Was in tree, jumped off. Near Skukuza",4/5,Dorette,"Dec 15, 2023 · 6:48 AM UTC"
8:05am,1 Leopard in a tree,"S25, 8km E of S26. Distant vis on S side. She got out and moved off E. Lost visual Near Crocodile Bridge",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 15, 2023 · 6:29 AM UTC"
8:05am,1 Leopard in a tree,"S25, 8km E of S26. Distant vis on S side. She got out and moved off E. Lost visual Near Crocodile Bridge",5/5,Jean - Discover Kruger Safaris,"Dec 15, 2023 · 6:29 AM UTC"
7:58am,2 Lion stationary,"S110 sand, 400m E of S120 Near Berg En Dal",4/5,JessicaJane,"Dec 15, 2023 · 6:25 AM UTC"
7:53am,Pride of Lion stationary,"H4-2, 10m from S25 Near Crocodile Bridge",5/5,Mercia,"Dec 15, 2023 · 6:09 AM UTC"
7:31am,Pack of Wild Dog stationary,"S25, 200m from S26 Near Biyamiti Bush Camp",5/5,Marja,"Dec 15, 2023 · 5:38 AM UTC"
7:26am,Pack of Wild Dog stationary,"S25, in the road 2km W of S26. Near Biyamiti Bush Camp",5/5,Jean - Discover Kruger Safaris,"Dec 15, 2023 · 5:32 AM UTC"
7:26am,Pack of Wild Dog stationary,"S25, in the road 2km W of S26. Near Biyamiti Bush Camp",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 15, 2023 · 5:32 AM UTC"
7:02am,1 Elephant stationary,"""Elephant bull in riverbed."" S1, 11km E of S3 towards Skukuza",5/5,Cdab,"Dec 15, 2023 · 5:13 AM UTC"
5:15am,2 Cheetah on the move,"S28, at No Entry, went mobile in the Shishangeni concession, lost visual Near Crocodile Bridge",5/5,Mfundziso Nyambi,"Dec 15, 2023 · 5:08 AM UTC"
6:50am,1 Lion on the move,"H4-2, S25 junction, moving West Near Crocodile Bridge",5/5,Mfundziso Nyambi,"Dec 15, 2023 · 5:08 AM UTC"
6:25am,Pack of Wild Dog on the move,"""Lost visibility now"" S25, 500m from S26 junction Near Crocodile Bridge",5/5,Sunflower,"Dec 15, 2023 · 4:48 AM UTC"
5:30am,Pride of Lion feeding,"""2 male lions eating on kudu. 5 others lying around. Right next to road"" S41, 10.5km N of S100 Near Satara",5/5,Michelle,"Dec 15, 2023 · 4:24 AM UTC"
5:50am,1 Black backed Jaackal stationary,"S25, 200m W of H4-2 Near Crocodile Bridge",5/5,Sunflower,"Dec 15, 2023 · 4:02 AM UTC"
5:15pm,1 Buffalo crossed road,"S1, W of S4 Near Skukuza",5/5,sarajanemalone,"Dec 14, 2023 · 3:22 PM UTC"
3:50pm,1 Leopard on the move,"""Watched him walk in plain sight for 100m then saw him climb a tree and settle down to sleep."" H3, below S112 Near Skukuza",5/5,sarajanemalone,"Dec 14, 2023 · 3:22 PM UTC"
1:36pm,1 Lion ,"S41, 6.5km N of S100 Near Satara",5/5,Lutri,"Dec 14, 2023 · 3:07 PM UTC"
5:00pm,Pack of Wild Dog sleeping,"S110 tar, 200m W of H3 Near Malelane",5/5,Serene,"Dec 14, 2023 · 3:02 PM UTC"
2:15pm,2 Bateleur feeding,"""With a juvenile eating a Lizard, Vulture is looking on"" H4-1, between Lower Sabie and Skukuza",5/5,Ross-Allen,"Dec 14, 2023 · 2:00 PM UTC"
2:30pm,6 Lion hunting,"H4-1, outside Nkuhlu Near Lower Sabie",5/5,gowild photography,"Dec 14, 2023 · 1:50 PM UTC"
12:41pm,2 Lion sleeping,"""Afternoon nap for the lions"" H5, 2.3km W of H4-2 Near Crocodile Bridge",5/5,Amz17,"Dec 14, 2023 · 1:25 PM UTC"
11:46am,1 Eland on the move and Zebra,"""He was acting like a zebra"" H6, between H1-3 and S37 Near Satara",5/5,Genya,"Dec 14, 2023 · 12:36 PM UTC"
5:02am,3 Lion stationary,"""What a great mom, chasing the hyenas away from her cubs"" S41, 3km N of Gudzani dam Near Satara",5/5,Genya,"Dec 14, 2023 · 12:36 PM UTC"
1:20pm,3 Lion stationary,"S41, 3km N of Gudzani dam Near Satara",5/5,Lutri,"Dec 14, 2023 · 12:35 PM UTC"
2:22pm,1 Leopard stationary,"S25, 7.9km W of H4-2 Near Crocodile Bridge",5/5,Scott22,"Dec 14, 2023 · 12:35 PM UTC"
1:45pm,2 Lion stationary,"""Male and female next to road"" H5, about 3km W of H4-2 Near Crocodile Bridge",5/5,Drian Laas,"Dec 14, 2023 · 12:13 PM UTC"
1:54pm,3 Elephant stationary,"H9, 1km E of S51 E junction Near Phalaborwa",2/5,CelesteRaath,"Dec 14, 2023 · 12:05 PM UTC"
11:37am,1 Elephant eating,"S28, 4.7km N of S137, in marshy area E side of road Near Lower Sabie",5/5,Peter53,"Dec 14, 2023 · 11:43 AM UTC"
10:45am,15 Elephant crossed road,"S28, 600m S of S107 Near Crocodile Bridge",5/5,Peter53,"Dec 14, 2023 · 11:43 AM UTC"
12:36pm,6 Elephant stationary,"H4-2, 2.8km N of H5 Near Lower Sabie",5/5,Peter53,"Dec 14, 2023 · 10:52 AM UTC"
12:27pm,1 Elephant ,"H4-2, 5.3km N of H5 Near Lower Sabie",5/5,Peter53,"Dec 14, 2023 · 10:43 AM UTC"
9:53am,Pride of Lion on a kill,"""Casper the White Lion feeding"" H1-3, 3km S of H6 Near Satara",5/5,Tinged by@Keseve2,"Dec 14, 2023 · 10:14 AM UTC"
9:05am,1 Lion ,"H4-1, at Lubyelubye bridge Near Lower Sabie",4/5,Yusuf,"Dec 14, 2023 · 9:16 AM UTC"
9:29am,2 Lion stationary,"S100, 8.2km E of H1-3, river side Near Satara",4/5,kelsww,"Dec 15, 2023 · 11:29 AM UTC"
12:30pm,1 Leopard ,"H4-2, 3.2km N from H5, on the road Near Lower Sabie",5/5,Christa,"Dec 15, 2023 · 11:03 AM UTC"
8:30am,Pack of Wild Dog on the move,"H3, traveling on the road from the H1-1 Near Skukuza",5/5,The Neumann Girls,"Dec 15, 2023 · 11:02 AM UTC"
10:43am,1 Elephant stationary,"S110 tar, 2km W of H3 Near Malelane",5/5,Mansi,"Dec 15, 2023 · 10:49 AM UTC"
11:45am,1 Leopard marking territory,"H3, about 1km  from S114. Went into shade of tree. Near Malelane",5/5,Dorette,"Dec 15, 2023 · 10:49 AM UTC"
12:05pm,"1 Leopard was stationary under a bush, now moved off.","H3, 400m N of S110 sand Near Malelane",5/5,Henri and Rudi,"Dec 15, 2023 · 10:49 AM UTC"
11:55am,1 Leopard in a tree,"H3, 1.4km S of S110 sand. Near Malelane",5/5,Henri and Rudi,"Dec 15, 2023 · 10:49 AM UTC"
Time,Animal Type and Number,Location,Rating,Tinged By,Title
5:25pm,2 Lion stationary,"H4-2, 2km N of H5 Near Lower Sabie",4/5,Henri and Rudi,"Dec 15, 2023 · 3:37 PM UTC"
4:59pm,Mating pair of Lion stationary,"H5, 5km E of S108 Near Crocodile Bridge",5/5,Henri and Rudi,"Dec 15, 2023 · 3:21 PM UTC"
10:06am,1 Southern Ground Hornbill stationary,"H10, 4.7km S of S129 Near Lower Sabie",3/5,Belindaoelofse,"Dec 15, 2023 · 2:50 PM UTC"
2:54pm,13 Sable Antelopes stationary,"H1-1, 260m N of S1 W junction Near Pretoriuskop",4/5,MVD1996,"Dec 15, 2023 · 1:49 PM UTC"
2:23pm,1 Lion,"S102, Mpondo dam Near Lower Sabie",5/5,Penny,"Dec 15, 2023 · 12:29 PM UTC"
10:28am,1 Spotted Hyena on the move,"S25, at Lukimbi Safari Lodge turnoff Near Malelane",5/5,KYR,"Dec 16, 2023 · 9:31 AM UTC"
10:06am,1 Spotted Hyena,"H11, 400m S of H4-1 Near Skukuza",5/5,TylieB,"Dec 16, 2023 · 8:50 AM UTC"
8:15am,Pod of Hippopotami stationary,"H4-1, Sunset dam Near Lower Sabie",4/5,jade,"Dec 16, 2023 · 8:50 AM UTC"
9:31am,1 Leopard ,"S34, just N of H1-3 Near Tshokwane",5/5,Engelbrecht,"Dec 16, 2023 · 8:50 AM UTC"
9:28am,1 Spotted Hyena on the move,"H4-2, 800m N of H5 Near Lower Sabie",5/5,KeeganHall,"Dec 16, 2023 · 8:47 AM UTC"
8:50am,4 Elephant on the move,"H3, 800m N of S118 Near Malelane",5/5,NickavdM,"Dec 16, 2023 · 8:47 AM UTC"
7:31am,3 Spotted Hyena on the move,"H5, 1km E of S108 Near Crocodile Bridge",3/5,NicoleBrighton,"Dec 16, 2023 · 8:25 AM UTC"
8:49am,4 Giraffe stationary,"S1, 2.7km E of S3 Near Phabeni",5/5,gertehlers,"Dec 16, 2023 · 8:25 AM UTC"
7:14am,2 Lion mating,"S83, 1.6km N of H1-2 W junction Near Skukuza",5/5,CaBiagi 1508,"Dec 16, 2023 · 8:25 AM UTC"
9:55am,Herd of Buffalo stationary,"H4-2, 500m N before H5 turn off Near Lower Sabie",5/5,Sunflower,"Dec 16, 2023 · 8:16 AM UTC"
9:20am,1 Leopard on the move,"S110 sand, at H3 junction, crossed the Matjulu river bed and walked parallel to the road about 200m in Near Malelane",5/5,KYR,"Dec 16, 2023 · 8:16 AM UTC"
8:00am,1 Leopard stationary,"H4-2, 2.4km S before S82 S junction Near Lower Sabie",5/5,Sunflower,"Dec 16, 2023 · 7:17 AM UTC"
